	City	iso_code	Timezone
650	Mannheim	DE	1
651	Allendorf	DE	1
652	Worms	DE	1
653	Mainz	DE	1
654	Eisenach	DE	1
655	Siegerland	DE	1
657	Kiel	DE	1
658	Luebeck	DE	1
659	Dahlemer Binz	DE	1
660	Meinerzhagen	DE	1
661	Arnsberg	DE	1
662	Essen	DE	1
663	Bielefeld	DE	1
664	Moenchengladbach	DE	1
665	Paderborn	DE	1
666	Stadtlohn	DE	1
667	Dortmund	DE	1
668	Augsburg	DE	1
669	Biberach	DE	1
670	Eggenfelden	DE	1
671	Mindelheim	DE	1
672	Oberpfaffenhofen	DE	1
673	Straubing	DE	1
674	Vilshofen	DE	1
675	Leutkirch	DE	1
676	Friedrichshafen	DE	1
677	Parchim	DE	1
678	Stendal	DE	1
679	Aalen-heidenheim	DE	1
680	Bayreuth	DE	1
681	Burg Feuerstein	DE	1
682	Hof	DE	1
683	Hassfurt	DE	1
684	Koblenz	DE	1
685	Trier	DE	1
686	Speyer	DE	1
687	Zweibruecken	DE	1
688	Donaueschingen	DE	1
689	Freiburg	DE	1
690	Mengen	DE	1
691	Schwaebisch Hall	DE	1
692	Soest	DE	1
693	Braunschweig	DE	1
694	Kassel	DE	1
695	Hildesheim	DE	1
696	Bremerhaven	DE	1
697	Emden	DE	1
698	Leer	DE	1
699	Wilhelmshaven	DE	1
700	Borkum	DE	1
701	Norderney	DE	1
702	Flensburg	DE	1
703	Rendsburg	DE	1
704	Westerland	DE	1
705	Spangdahlem	DE	1
706	Ramstein	DE	1
707	Giebelstadt	DE	1
708	Brueckeburg	DE	1
709	Celle	DE	1
710	Rheine-brentlange	DE	1
711	Fritzlar	DE	1
712	Laupheim	DE	1
713	Mendig	DE	1
714	Niederstetten	DE	1
715	Roth	DE	1
716	Fassberg	DE	1
717	Grafenwoehr	DE	1
718	Hanau	DE	1
719	Hohenfels	DE	1
720	Kitzingen	DE	1
721	Nordholz	DE	1
722	Diepholz	DE	1
723	Geilenkirchen	DE	1
724	Hohn	DE	1
725	Jever	DE	1
726	Laage	DE	1
727	Noervenich	DE	1
728	Schleswig	DE	1
729	Wittmundhafen	DE	1
730	Wunstorf	DE	1
731	Vilseck	DE	1
732	Coleman	DE	1
733	Wiesbaden	DE	1
734	Landsberg	DE	1
735	Buechel	DE	1
736	Erding	DE	1
737	Fuerstenfeldbruck	DE	1
738	Holzdorf	DE	1
739	Ingolstadt	DE	1
740	Lechfeld	DE	1
741	Neuburg	DE	1
742	Guetersloh	DE	1
743	Memmingen	DE	1
744	Aachen	DE	1
745	Karlsruhe/Baden-Baden	DE	1
746	Weeze	DE	1
747	Norden	DE	1
748	Juist	DE	1
749	Heringsdorf	DE	1
750	Büsum	DE	1
751	Helgoland	DE	1
752	Ruegen	DE	1
753	Tannheim	DE	1
754	Nauen	DE	1
755	Uetersen	DE	1
756	Hellwege	DE	1
757	Finsterwalde	DE	1
758	Dinslaken	DE	1
759	Hoexter Holzminden	DE	1
760	Harlesiel	DE	1
761	Wangerooge	DE	1
762	Langeoog	DE	1
763	Cuxhaven	DE	-6
764	Kirchheim-Teck	DE	1
765	Wuerzburg	DE	1
766	Hopsten	DE	1
767	Linkenheim	DE	1
768	Ebenhofen	DE	1
769	Kempten	DE	-6
771	Lindau	DE	-7
772	Roitzschjora	DE	1
773	Nannhausen	DE	1
774	Recklinghausen	DE	1
775	Lahr	DE	1
776	Regensburg	DE	1
777	Cochstedt	DE	1
778	Landshut	DE	1
779	Itzehoe	DE	1
780	Allstedt	DE	1
781	Peine	DE	1
782	Welzow	DE	1
783	Rotenburg Wuemme	DE	1
784	Wipperfuerth	DE	1
785	Osnabrueck	DE	1
786	Ballenstedt	DE	1
787	Hasenmoor	DE	1
788	Ganderkesee	DE	1
789	Nienburg Weser	DE	1
790	Damme	DE	1
791	Duelmen	DE	1
792	Obermehler	DE	1
793	Hodenhagen	DE	1
794	Grube	DE	1
796	Uelzen	DE	1
797	Hamm	DE	1
798	Luesse	DE	1
799	Bad Oeynhausen	DE	1
800	Brilon	DE	1
801	Bad Pyrmont	DE	1
803	Koethen	DE	1
804	Sankt Michaelisdonn	DE	1
805	Salzgitter	DE	1
806	Karlshoefen	DE	1
807	Oldenburg	DE	1
808	Rinteln	DE	1
809	Muenster	DE	1
810	Sankt Peter-Ording	DE	1
811	Luechow	DE	1
812	Scharlibbe	DE	1
813	Burg	DE	1
814	Bad Neuenahr	DE	1
815	Bad Duerkheim	DE	1
816	Leverkusen	DE	1
817	Wershofen	DE	1
818	Gera	DE	1
819	TELGTE	DE	1
820	Furstenwalde	DE	1
821	Eberswalde	DE	1
822	Saarmund	DE	1
823	Karlsruhe	DE	1
824	Weinheim	DE	1
825	Grefrath	DE	1
826	Segeletz	DE	1
827	Peenemunde	DE	1
828	Neustadt-Glewe	DE	1
829	Wildenrath	DE	1
830	Bremgarten	DE	1
831	Birburg	DE	1
832	Thalmaessing	DE	1
833	Ansbach	DE	1
834	Schleissheim	DE	1
835	Verden	DE	1
836	Nittenau	DE	1
837	Neumuenster	DE	1
838	Pellworm	DE	1
839	Elsenthal	DE	1
840	Meschede	DE	1
841	Stade	DE	1
842	Giessen	DE	1
843	Gelnhausen	DE	1
844	Lauterbach-Wernges	DE	1
845	Aschaffenburg	DE	1
846	Reichelsheim	DE	1
847	Schoenstadt	DE	1
848	Lauenbrueck	DE	1
849	Huettenbusch	DE	1
853	Armari Air Force Base	EE	2
854	Kardla	EE	2
855	Kuressaare	EE	2
856	Parnu	EE	2
857	Tallinn-ulemiste International	EE	2
858	Tartu	EE	2
859	Kihnu	EE	2
860	Ruhnu	EE	2
861	Tallinn	EE	2
862	Enontekio	FI	2
863	Eura	FI	2
864	Halli	FI	2
865	Helsinki	FI	2
867	Hameenkyro	FI	2
868	Hanko	FI	2
869	Hyvinkaa	FI	2
870	Kikala	FI	2
871	Immola	FI	2
872	Kitee	FI	2
873	Ivalo	FI	2
874	Joensuu	FI	2
875	Jyvaskyla	FI	2
876	Kauhava	FI	2
877	Kemi	FI	2
878	Kajaani	FI	2
879	Kauhajoki	FI	2
880	Kruunupyy	FI	2
881	Kemijarvi	FI	2
882	Kuusamo	FI	2
883	Kittila	FI	2
884	Kuopio	FI	2
885	Vesivehmaa	FI	2
886	Lappeenranta	FI	2
887	Mariehamn	FI	2
888	Menkijarvi	FI	2
889	Mikkeli	FI	2
890	Nummela	FI	2
891	Oulu	FI	2
892	Piikajarvi	FI	2
893	Pori	FI	2
894	Pudasjarvi	FI	2
895	Pyhasalmi	FI	2
896	Pattijoki	FI	2
897	Rantasalmi	FI	2
898	Rovaniemi	FI	2
899	Rayskala	FI	2
900	Savonlinna	FI	2
901	Selanpaa	FI	2
902	Sodankyla	FI	2
903	Tampere	FI	2
904	Teisko	FI	2
905	Turku	FI	2
906	Utti	FI	2
907	Vaasa	FI	2
908	Varkaus	FI	2
909	Ylivieska-raudaskyla	FI	2
910	Seinäjoki / Ilmajoki	FI	2
912	Kotka	FI	2
913	Belfast	GB	0
914	Enniskillen	GB	0
916	Londonderry	GB	0
917	Birmingham	GB	0
918	Coventry	GB	0
